ITEM,MARCA/MODELO,,PRECIO NUEVO AFUERA,,VALOR
Monitor,"LG 27UP650K-W 27-inch Ultrafine 4K UHD (3840 x 2160) IPS Computer Monitor, 60Hz, 5ms, DisplayHDR 400, Reader Mode, Flicker Safe, HDMI, DisplayPort, Tilt/Height/Pivot Adjustable Stand, White",,370,,200
Cornetas,thonet-vander kurbis cinema,,500,,300
PS5,PlayStation 5,,,,500
Teli,KD-49X725E,,,,100
Espumador,Espumero de leche Smart Tek Mf850 color vainilla,,50,,15
Air Fryer,Freidora De Aire Overtech Ov-106 Air Fryer 1600w 5l Sin Aceite Multifuncion Tmer Digital Color Negro,,,,30
Filtro Agua,PSA SENIOR 4,,,,
WiFi,"TP-Link Deco X15 Dual-Band AX1500 WiFi 6 Mesh Wi-Fi System | Replaces Routers and Extenders | Covers up to 3,900 sq.ft. | 2 Gigabit Ports per Unit, Supports Ethernet Backhaul, 2-Pack",,70,,
Cama,NO_FOTO,,,,
Colchon,NO_FOTO,,,,
Interface,"Focusrite Scarlett 4i4 3rd Gen USB Audio Interface for Recording, Songwriting, & Streaming — High-Fidelity, Studio Quality Recording, with Transparent Playback",,243,,
Aspiradora,"Shark HydroVac MessMaster Wet Dry Vacuum Cleaner, Cordless, 3-in-1 Vacuum Mop All in One & Self-Cleaning System, Lightweight, Powerful Suction, for Hard Floors & Area Rugs, Stone, WD261,Rose Gold",,200,,80
Sofa,NO_FOTO,,,,0
Mesa Televiso,NO_FOTO,,,,10
Escritorio viejo,NO_FOTO,,,,10
estante,NO_FOTO,,,,20
Ukulele,NO_FOTO,,,,
Mesita expandible,NO_FOTO,,,,20
cornetica wifi,Sony SRSHG1/BLK Hi-Res Wireless Speaker- Charcoal black,,50,,50
canil plegable 45cmx50cmx60cm,GENERAR,,,,
rampa 90cm,NO_FOTO,,,,20
